rank,player,age,teamName,position,gamesPlayed,goals,assists,points,plusMinus,penaltyMinutes,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningPoints,evenStrengthAssists,powerPlayAssits,shortHandedAssists,shots,shootingPercentage,timeOnIce,averageTimeOnIce
"1","Jack Adams","28","TRS","C","22","14","4","18","","51","","","","","","","","","","",""
"2","Lloyd Andrews","29","TRS","F","12","2","1","3","","0","","","","","","","","","","",""
"3","Amos Arbour","29","TRS","F","21","1","3","4","","4","","","","","","","","","","",""
"4","Billy Bell","32","MTL","F","11","0","0","0","","0","","","","","","","","","","",""
"5","Edmond Bouchard","31","HAM","F","20","5","0","5","","2","","","","","","","","","","",""
"6","Billy Boucher","24","MTL","RW","23","16","6","22","","48","","","","","","","","","","",""
"7","Bobby Boucher","19","MTL","F","11","1","0","1","","0","","","","","","","","","","",""
"8","George Boucher","27","OTS","D","21","13","10","23","","38","","","","","","","","","","",""
"9","Punch Broadbent","31","OTS","RW","22","9","4","13","","44","","","","","","","","","","",""
"10","Billy Burch","23","HAM","C","24","16","6","22","","6","","","","","","","","","","",""
"11","Billy Cameron","27","MTL","RW","18","0","0","0","","2","","","","","","","","","","",""
"12","Earl Campbell","23","OTS","F","18","5","3","8","","8","","","","","","","","","","",""
"13","George Carey","","TRS","RW","4","0","0","0","","0","","","","","","","","","","",""
"14","King Clancy","20","OTS","D","24","8","8","16","","26","","","","","","","","","","",""
"15","Odie Cleghorn","32","MTL","RW/C","22","2","5","7","","16","","","","","","","","","","",""
"16","Sprague Cleghorn","33","MTL","D","23","8","4","12","","45","","","","","","","","","","",""
"17","Bert Corbeau","29","TRS","D","24","8","6","14","","55","","","","","","","","","","",""
"18","Billy Coutu","31","MTL","D","16","3","1","4","","18","","","","","","","","","","",""
"19","Jack Darragh","33","OTS","RW","18","2","0","2","","2","","","","","","","","","","",""
"20","Corb Denneny","30","HAM","LW/C","23","0","1","1","","6","","","","","","","","","","",""
"21","Cy Denneny","32","OTS","LW","22","22","2","24","","10","","","","","","","","","","",""
"22","Babe Dye","25","TRS","RW","19","16","3","19","","23","","","","","","","","","","",""
"23","Frank Finnigan","20","OTS","F","2","0","0","0","","0","","","","","","","","","","",""
"24","Charles Fraser","26","HAM","F","1","0","0","0","","0","","","","","","","","","","",""
"25","Leth Graham","","OTS","LW","3","0","0","0","","0","","","","","","","","","","",""
"26","Red Green","24","HAM","F","23","11","2","13","","31","","","","","","","","","","",""
"27","Shorty Green","27","HAM","F","22","7","6","13","","31","","","","","","","","","","",""
"28","Harry Helman","29","OTS","D","19","1","0","1","","2","","","","","","","","","","",""
"29","Lionel Hitchman","22","OTS","D","24","2","6","8","","24","","","","","","","","","","",""
"30","Albert Holway","21","TRS","D","5","1","0","1","","0","","","","","","","","","","",""
"31","Stan Jackson","25","TRS","LW","22","1","1","2","","6","","","","","","","","","","",""
"32","Aurele Joliat","22","MTL","LW","24","15","5","20","","27","","","","","","","","","","",""
"33","Wilf Loughlin","27","TRS","D","14","0","0","0","","2","","","","","","","","","","",""
"34","Joe Malone","33","MTL","C","10","0","0","0","","0","","","","","","","","","","",""
"35","Sylvio Mantha","21","MTL","D","24","1","3","4","","11","","","","","","","","","","",""
"36","Howie Morenz","21","MTL","C","24","13","3","16","","20","","","","","","","","","","",""
"37","Frank Nighbor","31","OTS","C","20","11","6","17","","16","","","","","","","","","","",""
"38","Reg Noble","27","TRS","LW","24","12","5","17","","79","","","","","","","","","","",""
"39","Goldie Prodger","32","HAM","D/F","23","9","4","13","","6","","","","","","","","","","",""
"40","Ken Randall","35","HAM","D","24","7","6","13","","58","","","","","","","","","","",""
"41","Leo Reise","31","HAM","D","4","0","0","0","","4","","","","","","","","","","",""
"42","Mickey Roach","28","HAM","C","20","5","3","8","","7","","","","","","","","","","",""
"43","Ganton Scott","20","TOT","RW","12","0","0","0","","0","","","","","","","","","","",""
"44","Rod Smylie","28","OTS","LW","13","1","1","2","","8","","","","","","","","","","",""
"45","Chris Speyer","16","TRS","D","3","0","0","0","","0","","","","","","","","","","",""
"46","Jesse Spring","23","HAM","D","20","3","3","6","","20","","","","","","","","","","",""
"47","Billy Stuart","23","TRS","D","24","4","3","7","","22","","","","","","","","","","",""
