rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Yves Belanger","24","STL","3","","2","0","0","7","","","","3.00","0","140","","","","","","0","1","1","0"
"2","Dan Bouchard","26","ATF","42","","17","17","5","139","","","","3.51","1","2378","","","","","","0","1","1","9"
"3","Bruce Bullock","27","VAN","1","","0","0","0","3","","","","6.67","0","27","","","","","","0","0","0","0"
"4","Gerry Cheevers","36","BOS","45","","30","10","5","137","","","","3.04","3","2700","","","","","","0","4","4","46"
"5","Roger Crozier","34","WSH","3","","1","0","0","2","","","","1.17","0","103","","","","","","0","0","0","0"
"6","John Davidson","23","NYR","39","","14","14","6","125","","","","3.54","1","2116","","","","","","0","0","0","6"
"7","Gerry Desjardins","32","BUF","49","","31","12","6","126","","","","2.63","3","2871","","","","","","0","0","0","2"
"8","Ken Dryden","29","MTL","56","","41","6","8","117","","","","2.14","10","3275","","","","","","0","2","2","0"
"9","Michel Dumas","27","CBH","5","","0","1","2","17","","","","4.23","0","241","","","","","","0","1","1","0"
"10","Don Edwards","21","BUF","25","","16","7","2","62","","","","2.51","2","1480","","","","","","0","1","1","2"
"11","Gary Edwards","29","TOT","27","","4","16","5","107","","","","4.28","2","1500","","","","","","0","1","1","2"
"12","Tony Esposito","33","CBH","69","","25","36","8","234","","","","3.45","2","4067","","","","","","0","2","2","6"
"13","Doug Favell","31","CLR","30","","8","15","3","105","","","","3.90","0","1614","","","","","","0","0","0","15"
"14","Ed Giacomin","37","DET","33","","8","18","3","107","","","","3.58","3","1791","","","","","","0","1","1","4"
"15","Gilles Gilbert","27","BOS","34","","18","13","3","97","","","","2.85","1","2040","","","","","","0","1","1","15"
"16","Doug Grant","28","STL","17","","7","7","3","50","","","","3.12","1","960","","","","","","0","0","0","0"
"17","Gilles Gratton","24","NYR","41","","11","18","7","143","","","","4.22","0","2034","","","","","","0","0","0","13"
"18","Paul Harrison","21","MNS","2","","0","2","0","11","","","","5.50","0","120","","","","","","0","0","0","0"
"19","Denis Herron","24","PIT","34","","15","11","5","94","","","","2.94","1","1920","","","","","","0","1","1","4"
