rank,player,age,teamName,gamesPlayed,gamesStarted,wins,losses,plusMinus,goalsAgainst,shotsAgainst,saves,savePercentage,goalsAgainstAverage,shutouts,minutes,qualityStarts,qualityStartsPercentage,badStarts,goalsAllowedPercentage,savedAboveAverage,goals,assists,points,penaltyMinutes
"1","Tom Barrasso","23","TOT","54","","20","22","7","207","1730","1523",".880","4.21","0","2951","","","","99","1.63","0","8","8""70"
"2","Don Beaupre","27","TOT","12","","5","5","0","31","295","264",".895","2.92","1","637","","","","","","0","0","0""6"
"3","Ed Belfour","23","CHI","23","","4","12","3","74","605","531",".878","3.87","0","1148","","","","101","-1.04","0","1","1""6"
"4","Daniel Berthiaume","23","WIN","9","","0","8","0","44","255","211",".827","5.96","0","443","","","","","","0","0","0""0"
"5","Allan Bester","24","TOR","43","","17","20","3","156","1420","1264",".890","3.80","2","2460","","","","91","15.25","0","2","2""2"
"6","Craig Billington","22","NJD","3","","1","1","0","11","65","54",".831","4.71","0","140","","","","","","0","0","0""0"
"7","Mario Brunetta","22","QUE","5","","1","3","0","19","117","98",".838","5.04","0","226","","","","","","0","0","0""0"
"8","Sean Burke","22","NJD","62","","22","31","9","230","1823","1593",".874","3.84","3","3590","","","","105","-10.15","0","3","3""54"
"9","Jon Casey","26","MNS","55","","18","17","12","151","1509","1358",".900","3.06","1","2961","","","","83","30.98","0","1","1""10"
"10","Tim Cheveldae","20","DET","2","","0","2","0","9","74","65",".878","4.43","0","122","","","","","","0","0","0""0"
"11","Alain Chevrier","27","TOT","49","","21","19","4","170","1294","1124",".869","3.83","1","2665","","","","109","-13.95","0","4","4""2"
"12","Chris Clifford","22","CHI","1","","0","0","0","0","0","0","","0.00","0","4","","","","","","0","0","0""0"
"13","Jacques Cloutier","29","BUF","36","","15","14","0","108","857","749",".874","3.63","0","1786","","","","104","-4.65","0","2","2""6"
"14","Marc D'Amour","27","PHI","1","","0","0","0","0","14","14","1.000","0.00","0","19","","","","","","0","0","0""0"
"15","Tom Draper","22","WIN","2","","1","1","0","12","66","54",".818","6.00","0","120","","","","","","0","0","0""0"
"16","Darren Eliot","27","BUF","2","","0","0","0","7","43","36",".837","6.27","0","67","","","","","","0","0","0""0"
"17","Bob Essensa","24","WIN","20","","6","8","3","68","574","506",".882","3.70","1","1102","","","","98","1.22","0","0","0""2"
"18","Randy Exelby","23","MTL","1","","0","0","0","0","1","1","1.000","0.00","0","3","","","","","","0","0","0""0"
"19","Mark Fitzpatrick","20","TOT","28","","9","12","5","105","879","774",".881","3.98","0","1584","","","","99","1.00","0","2","2""4"
"20","Bob Froese","30","NYR","30","","9","14","4","102","791","689",".871","3.78","1","1621","","","","107","-6.61","0","1","1""6"
"21","Grant Fuhr","26","EDM","59","","23","26","6","213","1714","1501",".876","3.83","1","3341","","","","103","-6.30","0","1","1""6"
"22","Troy Gamble","21","VAN","5","","2","3","0","12","140","128",".914","2.38","0","302","","","","","","0","0","0""0"
"23","Mario Gosselin","25","QUE","39","","11","19","3","146","1105","959",".868","4.24","0","2064","","","","110","-12.74","0","2","2""6"
"24","Steve Guenette","23","PIT","11","","5","6","0","41","308","267",".867","4.29","0","574","","","","","","0","1","1""0"
"25","Jeff Hackett","20","NYI","13","","4","7","0","39","329","290",".881","3.53","0","662","","","","98","0.68","0","1","1""2"
"26","Glen Hanlon","31","DET","39","","13","14","8","124","1055","931",".882","3.56","1","2092","","","","97","3.23","0","1","1""12"
"27","Brian Hayward","28","MTL","36","","20","13","3","101","894","793",".887","2.90","1","2091","","","","94","6.81","0","0","0""10"
"28","Glenn Healy","26","LAK","48","","25","19","2","192","1509","1317",".873","4.27","0","2699","","","","106","-10.02","0","1","1""28"
"29","Ron Hextall","24","PHI","64","","30","28","6","202","1860","1658",".891","3.23","0","3756","","","","90","22.31","0","8","8""113"
"30","Kelly Hrudey","28","TOT","66","","28","28","5","230","1948","1718",".882","3.66","1","3774","","","","98","4.92","0","3","3""19"
"31","Bob Janecyk","31","LAK","1","","0","0","0","2","22","20",".909","4.00","0","30","","","","","","0","0","0""0"
"32","Mark LaForest","26","PHI","17","","5","7","2","64","497","433",".871","4.12","0","933","","","","107","-4.06","0","4","4""4"
"33","Reggie Lemelin","34","BOS","40","","19","15","6","120","1061","941",".887","3.01","0","2392","","","","94","7.95","0","1","1""6"
"34","Mike Liut","33","HAR","35","","13","19","1","142","1027","885",".862","4.25","1","2006","","","","115","-18.15","0","0","0""0"
"35","Clint Malarchuk","27","TOT","49","","19","19","8","154","1287","1133",".880","3.36","2","2754","","","","99","1.21","0","1","1""18"
"36","Bob Mason","27","QUE","22","","5","14","1","92","627","535",".853","4.73","0","1168","","","","122","-16.39","0","1","1""2"
"37","Kirk McLean","22","VAN","42","","20","17","3","127","1169","1042",".891","3.08","4","2477","","","","90","13.98","0","1","1""6"
"38","Roland Melanson","28","LAK","4","","1","1","0","19","109","90",".826","6.40","0","178","","","","","","0","0","0""4"
"39","Greg Millen","31","STL","52","","22","20","7","170","1411","1241",".880","3.38","6","3019","","","","100","0.16","0","0","0""4"
"40","Andy Moog","28","BOS","41","","18","14","8","133","1079","946",".877","3.22","1","2482","","","","102","-2.88","0","1","1""6"
"41","Jarmo Myllys","23","MNS","6","","1","4","0","22","138","116",".841","5.55","0","238","","","","","","0","0","0""0"
"42","Darren Pang","24","CHI","35","","10","11","6","120","915","795",".869","4.38","0","1644","","","","109","-9.65","0","3","3""4"
"43","Pete Peeters","31","WSH","33","","20","7","3","88","790","702",".889","2.85","4","1854","","","","92","7.27","0","1","1""8"
"44","Frank Pietrangelo","24","PIT","15","","5","3","0","45","409","364",".890","4.04","0","669","","","","91","4.32","0","0","0""2"
"45","Daren Puppa","23","BUF","37","","17","10","6","107","961","854",".889","3.36","1","1908","","","","92","8.89","0","4","4""12"
"46","Bill Ranford","22","EDM","29","","15","8","2","88","718","630",".877","3.50","1","1509","","","","102","-1.41","0","0","0""2"
"47","Pokey Reddick","24","WIN","41","","11","17","7","144","1132","988",".873","4.10","0","2109","","","","105","-7.49","0","1","1""6"
"48","Jeff Reese","22","TOR","10","","2","6","1","40","286","246",".860","4.94","0","486","","","","","","0","0","0""4"
"49","Vincent Riendeau","22","STL","32","","11","15","5","108","836","728",".871","3.52","0","1842","","","","107","-7.18","0","1","1""4"
"50","Patrick Roy","23","MTL","48","","33","5","6","113","1228","1115",".908","2.47","4","2744","","","","76","35.09","0","6","6""2"
"51","Bob Sauve","33","NJD","15","","4","5","1","56","333","277",".832","4.67","0","720","","","","139","-15.84","0","0","0""0"
"52","Peter Sidorkiewicz","25","HAR","44","","22","18","4","133","1207","1074",".890","3.03","4","2635","","","","91","12.56","0","3","3""0"
"53","Billy Smith","38","NYI","17","","3","11","0","54","364","310",".852","4.44","0","730","","","","123","-10.10","0","0","0""8"
"54","Sam St. Laurent","29","DET","4","","0","1","1","9","91","82",".901","3.83","0","141","","","","","","0","0","0""0"
"55","Greg Stefan","27","DET","46","","21","17","3","167","1290","1123",".871","4.01","0","2499","","","","107","-11.43","0","2","2""41"
"56","Rick Tabaracci","20","PIT","1","","0","0","0","4","21","17",".810","7.27","0","33","","","","","","0","0","0""2"
"57","Kari Takko","26","MNS","32","","8","15","4","93","922","829",".899","3.48","0","1603","","","","84","18.19","0","0","0""6"
"58","Chris Terreri","24","NJD","8","","0","4","2","18","170","152",".894","2.69","0","402","","","","","","0","0","0""2"
"59","Ron Tugnutt","21","QUE","26","","10","10","3","82","756","674",".892","3.60","0","1367","","","","90","9.17","0","3","3""2"
"60","John Vanbiesbrouck","25","NYR","56","","28","21","4","197","1666","1469",".882","3.69","0","3207","","","","98","3.91","0","5","5""30"
"61","Mike Vernon","25","CGY","52","","37","6","5","130","1263","1133",".897","2.65","0","2938","","","","85","22.31","0","4","4""18"
"62","Jimmy Waite","19","CHI","11","","0","7","1","43","253","210",".830","5.22","0","494","","","","","","0","0","0""0"
"63","Darcy Wakaluk","22","BUF","6","","1","3","0","15","90","75",".833","4.21","0","214","","","","","","0","0","0""0"
"64","Rick Wamsley","29","CGY","35","","17","11","4","95","796","701",".881","2.96","2","1927","","","","99","0.99","0","1","1""8"
"65","Steve Weeks","30","VAN","35","","11","19","5","102","953","851",".893","2.98","0","2056","","","","89","12.93","0","0","0""4"
"66","Kay Whitmore","21","HAR","3","","2","1","0","10","96","86",".896","3.33","0","180","","","","","","0","2","2""4"
"67","Ken Wregget","24","TOT","35","","10","21","2","152","1110","958",".863","4.52","0","2018","","","","114","-18.14","0","3","3""20"
"68","Wendell Young","25","PIT","22","","12","9","0","92","673","581",".863","4.80","0","1150","","","","113","-10.84","0","2","2""4"
